"id","ERGO.Function","GenBank.Function","strand","length.nt.","length.aa.","GRAVY","Molecular.Weight","Iso.electric.Point","gene.name","Kegg.Orthology","COG_Category_description","KEGG_Pathway_names","eggnog_COG_category","eggnog_seed_ortholog","eggnog_evalue","eggnog_score","eggnog_Description","eggnog_Preferred_name","eggnog_GOs","eggnog_EC","eggnog_KEGG_ko","eggnog_KEGG_Pathway","eggnog_KEGG_Module","eggnog_KEGG_Reaction","eggnog_KEGG_rclass","eggnog_BRITE","eggnog_KEGG_TC","eggnog_CAZy","eggnog_BiGG_Reaction","eggnog_PFAMs","TransAAP_Transporter_Family","TransAAP_Subfamily","TransAAP_Substrate_Function"
"RCHGF001041","ABC transporter ATP-binding protein","ABC transporter, ATP-binding protein","negative",753,251,"-0.175697211155379","27738.6252","6.18194580078125","None","K05833 - ABC.X4.A - putative ABC transport system ATP-binding protein","(S) Function Unknown","-","S","908340.HMPREF9406_0328","1.23E-174","487","ABC transporter","-","-","-","ko:K05833","-","M00247","-","-","ko00000,ko00002,ko02000","-","-","-","ABC_tran","ABC","binding","daunorubicin"
"RCHGF001042","ABC transporter permease protein","branched-chain amino acid ABC transporter, permease protein","negative",870,290,"0.990000000000001","30337.1029","9.77630615234375","None","K05832 - ABC.X4.P - putative ABC transport system permease protein","(S) Function Unknown","-","S","908340.HMPREF9406_0329","1.16E-187","523","Belongs to the binding-protein-dependent transport system permease family","-","-","-","ko:K05832","-","M00247","-","-","ko00000,ko00002,ko02000","-","-","-","BPD_transp_2","ABC","membrane","unknown substrate"
"RCHGF001043","ABC transporter substrate-binding protein","ABC transporter substrate binding protein","negative",987,329,"-0.146504559270517","35217.9667","5.22515869140625","None","K01989 - ABC.X4.S - putative ABC transport system substrate-binding protein","(S) Function Unknown","-","S","908340.HMPREF9406_0330","1.23E-229","633","ABC transporter","-","-","-","ko:K01989","-","M00247","-","-","ko00000,ko00002,ko02000","-","-","-","ABC_sub_bind","NA","NA","NA"
"RCHGF001044",,"hypothetical protein","negative",138,46,"-0.165217391304348","5058.7741","7.97918701171875","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF001045",,"transcriptional regulator, MerR family","negative",729,243,"0.045267489711934","28163.7547","6.06768798828125","None",,"(K) Transcription","-","K","908340.HMPREF9406_0332","5.67E-176","490","helix_turn_helix, mercury resistance","-","-","-","-","-","-","-","-","-","-","-","-","DUF1648,MerR_1,RDD","NA","NA","NA"
"RCHGF001046","Two component system histidine kinase (EC 2.7.13.3)","ATPase/histidine kinase/DNA gyrase B/HSP90 domain protein","negative",1272,424,"-0.388443396226415","49569.5224000001","6.61859130859375","None","K18350 - vanSC, vanSE, vanSG - two-component system, OmpR family, sensor histidine kinase VanS [EC:2.7.13.3] [2.7.13.3]","(T) Signal Transduction","-","T","908340.HMPREF9406_0333","3.08E-303","827","His Kinase A (phosphoacceptor) domain","-","-","-","-","-","-","-","-","-","-","-","-","HATPase_c,HisKA","NA","NA","NA"
"RCHGF001047","Two-component response regulator","response regulator receiver domain protein","negative",675,225,"-0.192","25838.7282","6.71612548828125","None","K07775 - resD - two-component system, OmpR family, response regulator ResD","(T) Signal Transduction","-","T","908340.HMPREF9406_0334","2.4E-159","446","cheY-homologous receiver domain","-","-","-","-","-","-","-","-","-","-","-","-","Response_reg,Trans_reg_C","NA","NA","NA"
"RCHGF001048","ABC transporter ATP-binding protein","ABC transporter, ATP-binding protein","negative",768,256,"-0.37109375","29100.0922","6.46185302734375","None","K02003 - ABC.CD.A - putative ABC transport system ATP-binding protein","NA","-","V","908340.HMPREF9406_0335","6.38E-184","511","ABC-type antimicrobial peptide transport system, ATPase component","-","-","-","ko:K02003","-","M00258","-","-","ko00000,ko00002,ko02000","3.A.1","-","-","ABC_tran","ABC","binding","lipoprotein"
"RCHGF001049","ABC transporter permease protein","efflux ABC transporter, permease protein","negative",2370,790,"0.188481012658228","89449.0373000005","7.10601806640625","None","K02004 - ABC.CD.P - putative ABC transport system permease protein","NA","-","V","908340.HMPREF9406_0336","0","1473","FtsX-like permease family","-","-","-","ko:K02004","-","M00258","-","-","ko00000,ko00002,ko02000","3.A.1","-","-","FtsX","ABC","membrane","lipoprotein releasing"
"RCHGF001050","23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)","putative rRNA large subunit m3Psi methyltransferase RlmH","negative",474,158,"-0.598101265822785","18595.1519","8.55706787109375","None","K00783 - rlmH - 23S rRNA (pseudouridine1915-N3)-methyltransferase [EC:2.1.1.177] [2.1.1.177]","(J) Translation","-","J","908340.HMPREF9406_0337","1.68E-108","312","Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA","rlmH","-","2.1.1.177","ko:K00783","-","-","-","-","ko00000,ko01000,ko03009","-","-","-","SPOUT_MTase","NA","NA","NA"
"RCHGF001051","Hydrolase (HAD superfamily)","hypothetical protein","negative",522,174,"-0.341379310344828","20989.011","7.13201904296875","None","K06950 - K06950 - uncharacterized protein","(S) Function Unknown","-","S","908340.HMPREF9406_0338","6.95E-127","360","Metal dependent phosphohydrolases with conserved 'HD' motif.","-","-","-","ko:K06950","-","-","-","-","ko00000","-","-","-","HD","NA","NA","NA"
"RCHGF001052",,"prepilin-type cleavage/methylation N-terminal domain protein","positive",852,284,"-0.317605633802817","31461.6303","6.66278076171875","None",,"(N) Cell motility; (U) Intracellular trafficing and secretion","Two-component system; Bacterial secretion system; Biofilm formation - Vibrio cholerae","NU","908340.HMPREF9406_0339","8.34E-194","538","Prepilin-type cleavage methylation N-terminal domain protein","-","-","-","ko:K02456,ko:K02650","ko02020,ko03070,ko05111,map02020,map03070,map05111","M00331","-","-","ko00000,ko00001,ko00002,ko02035,ko02044","3.A.15,3.A.15.2","-","-","N_methyl","NA","NA","NA"
"RCHGF001053","Transcriptional regulator, TetR family","transcriptional regulator, TetR family","negative",615,205,"-0.402439024390244","24604.1403","5.50836181640625","None",,"(K) Transcription","-","K","908340.HMPREF9406_0340","4.53E-145","409","Transcriptional regulator TetR family","-","-","-","-","-","-","-","-","-","-","-","-","TetR_N","NA","NA","NA"
"RCHGF001054",,"hypothetical protein","negative",237,79,"-0.264556962025317","9216.2967","6.27276611328125","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0341","1.12E-53","167","nucleotidyltransferase activity","-","-","-","-","-","-","-","-","-","-","-","-","Metallophos,Metallophos_2","NA","NA","NA"
"RCHGF001055",,"hypothetical protein","negative",351,117,"-0.602564102564102","13918.8083","8.90765380859375","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0342","2.4E-86","253","nucleotidyltransferase activity","-","-","-","-","-","-","-","-","-","-","-","-","Metallophos","NA","NA","NA"
"RCHGF001056","Endopeptidase degP (EC 3.4.21.-)","trypsin","negative",1086,362,"0.028729281767956","38946.2681","5.11810302734375","None","K04771 - degP, htrA - serine protease Do [EC:3.4.21.107] [3.4.21.107]","(O) Post-translational modification, protein turnover, chaperone functions","Cationic antimicrobial peptide (CAMP) resistance; Two-component system","O","908340.HMPREF9406_0343","1.66E-246","678","PDZ DHR GLGF domain protein","-","-","3.4.21.107","ko:K04771","ko01503,ko02020,map01503,map02020","M00728","-","-","ko00000,ko00001,ko00002,ko01000,ko01002,ko03110","-","-","-","PDZ_2,Trypsin_2","NA","NA","NA"
"RCHGF001057",,"metallo-beta-lactamase domain protein","negative",744,248,"-0.45241935483871","28466.141","5.75189208984375","None","K07668 - vicR - two-component system, OmpR family, response regulator VicR","(S) Function Unknown","-","S","908340.HMPREF9406_0344","3.43E-184","511","domain protein","yycJ","-","-","-","-","-","-","-","-","-","-","-","Lactamase_B,Lactamase_B_2","NA","NA","NA"
"RCHGF001058",,"replicative DNA helicase (EC 3.6.1.-)","negative",1344,448,"-0.261383928571429","49737.7249000001","4.99493408203125","dnaB","K02314 - dnaB - replicative DNA helicase [EC:3.6.4.12] [3.6.4.12]","(L) Replication and repair","DNA replication; Cell cycle - Caulobacter","L","908340.HMPREF9406_0345","3.55000000000023e-312","852","Participates in initiation and elongation during chromosome replication","dnaB","-","3.6.4.12","ko:K02314","ko03030,ko04112,map03030,map04112","-","-","-","ko00000,ko00001,ko01000,ko03032","-","-","-","DnaB,DnaB_C","NA","NA","NA"
"RCHGF001059","LSU ribosomal protein L9P","ribosomal protein L9","negative",444,148,"-0.402702702702703","16575.8903","8.67083740234375","rplI","K02939 - RP-L9, MRPL9, rplI - large subunit ribosomal protein L9","(J) Translation","Ribosome","J","908340.HMPREF9406_0346","1.53E-97","284","binds to the 23S rRNA","rplI","-","-","ko:K02939","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_L9_C,Ribosomal_L9_N","NA","NA","NA"
"RCHGF001060","Phosphoesterase, DHH family protein","DHHA1 domain protein","negative",1995,665,"-0.211428571428572","75022.5052000004","4.78240966796875","None","K02963 - RP-S18, MRPS18, rpsR - small subunit ribosomal protein S18","(T) Signal Transduction","-","T","908340.HMPREF9406_0347","0","1280","domain protein","yybT","-","-","-","-","-","-","-","-","-","-","-","DHH,DHHA1","NA","NA","NA"
"RCHGF001061",,"hypothetical protein","negative",921,307,"1.00097719869707","34304.3917000001","9.53057861328125","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0348","8.09E-208","576","Predicted membrane protein (DUF2232)","-","-","-","-","-","-","-","-","-","-","-","-","DUF2232","NA","NA","NA"
"RCHGF001062","SSU ribosomal protein S18P","ribosomal protein S18","negative",228,76,"-0.513157894736842","8969.69389999999","10.7149047851563","rpsR","K02963 - RP-S18, MRPS18, rpsR - small subunit ribosomal protein S18","(J) Translation","Ribosome","J","908340.HMPREF9406_0349","1.58E-45","147","Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit","rpsR","-","-","ko:K02963","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011","-","-","-","Ribosomal_S18","NA","NA","NA"
"RCHGF001063","Single-strand DNA binding protein","single-strand binding family protein","negative",474,158,"-0.521518987341772","17222.5549","4.87664794921875","None","K03111 - ssb - single-strand DNA-binding protein","(L) Replication and repair","DNA replication; Mismatch repair; Homologous recombination","L","908340.HMPREF9406_0350","2.89E-100","291","Single-stranded DNA-binding protein","ssb","-","-","ko:K03111","ko03030,ko03430,ko03440,map03030,map03430,map03440","-","-","-","ko00000,ko00001,ko03029,ko03032,ko03400","-","-","-","SSB","NA","NA","NA"
"RCHGF001064","SSU ribosomal protein S6P","ribosomal protein S6","negative",291,97,"-0.5","11424.8777","5.70391845703125","rpsF","K02990 - RP-S6, MRPS6, rpsF - small subunit ribosomal protein S6","(J) Translation","Ribosome","J","908340.HMPREF9406_0351","1.79E-65","199","Binds together with S18 to 16S ribosomal RNA","rpsF","-","-","ko:K02990","ko03010,map03010","M00178","-","-","br01610,ko00000,ko00001,ko00002,ko03011,ko03029","-","-","-","Ribosomal_S6","NA","NA","NA"
"RCHGF001065",,"hypothetical protein","positive",195,65,"-0.62923076923077","7669.6463","6.38043212890625","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF001066",,"hypothetical protein","positive",111,37,"-0.467567567567568","4415.1426","9.60052490234375","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF001067",,"hypothetical protein","positive",216,72,"-0.05","8054.4215","5.30279541015625","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF001068",,"RDD family protein","negative",654,218,"0.197706422018349","24729.7784","9.53399658203125","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0355","1.57E-156","439","RDD family","-","-","-","-","-","-","-","-","-","-","-","-","RDD","NA","NA","NA"
"RCHGF001069","Cystathionine beta-lyase (EC 4.4.1.8) / MalT protein regulator","aminotransferase, class I/II (EC 2.6.1.-)","negative",1182,394,"-0.337817258883249","45857.8676000001","5.36688232421875","None","K14155 - patB, malY - cysteine-S-conjugate beta-lyase [EC:4.4.1.13] [4.4.1.13]","(E) Amino Acid metabolis and transport","Cysteine and methionine metabolism; Selenocompound metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids","E","908340.HMPREF9406_0356","4.46E-299","814","Aminotransferase class I and II","-","-","4.4.1.8","ko:K14155","ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230","-","R00782,R01286,R02408,R04941","RC00056,RC00069,RC00382,RC00488,RC00710,RC01245,RC02303","ko00000,ko00001,ko01000,ko01007","-","-","-","Aminotran_1_2","NA","NA","NA"
"RCHGF001070","Xaa-Pro dipeptidase (EC 3.4.13.9)","Creatinase","negative",1101,367,"-0.218256130790191","41102.9456","5.77178955078125","None","K01262 - pepP - Xaa-Pro aminopeptidase [EC:3.4.11.9] [3.4.11.9]","(E) Amino Acid metabolis and transport","-","E","908340.HMPREF9406_0357","2.64E-266","729","Belongs to the peptidase M24B family","pepP","-","3.4.11.9,3.4.13.9","ko:K01262,ko:K01271","-","-","-","-","ko00000,ko01000,ko01002","-","-","-","Creatinase_N,Peptidase_M24","NA","NA","NA"
"RCHGF001071","PTS system, cellobiose-specific IIC component","PTS system, lactose/cellobiose family IIC component (EC 2.7.1.69)","negative",1323,441,"0.66122448979592","49010.6605","5.29290771484375","None","K02761 - PTS-Cel-EIIC, celB, chbC - PTS system, cellobiose-specific IIC component","(G) Carbohydrate metabolism and transport","Starch and sucrose metabolism; Phosphotransferase system (PTS)","G","908340.HMPREF9406_0358","0","869","The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane","-","-","-","ko:K02761","ko00500,ko02060,map00500,map02060","M00275","R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko02000","4.A.3.2","-","-","PTS_EIIC","SSPTS","EnzymeIIABC","cellobiose"
"RCHGF001072","PTS system, cellobiose-specific IIB component (EC 2.7.1.69)","PTS system, Lactose/Cellobiose specific IIB subunit","negative",330,110,"0.110909090909091","12255.4927","6.70513916015625","None","K02760 - PTS-Cel-EIIB, celA, chbB - PTS system, cellobiose-specific IIB component [EC:2.7.1.196 2.7.1.205] [2.7.1.196 2.7.1.205]","(G) Carbohydrate metabolism and transport","Starch and sucrose metabolism; Phosphotransferase system (PTS)","G","908340.HMPREF9406_0359","3.14E-72","217","IIB subunit","-","-","2.7.1.196,2.7.1.205","ko:K02760","ko00500,ko02060,map00500,map02060","M00275","R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.3.2","-","-","PTS_IIB","SSPTS","EnzymeIIB","cellobiose"
"RCHGF001073","PTS system, cellobiose-specific IIA component (EC 2.7.1.69)","PTS system, Lactose/Cellobiose specific IIA subunit","negative",318,106,"-0.45","11993.6226","4.94012451171875","None","K02759 - PTS-Cel-EIIA, celC, chbA - PTS system, cellobiose-specific IIA component [EC:2.7.1.196 2.7.1.205] [2.7.1.196 2.7.1.205]","(G) Carbohydrate metabolism and transport","Starch and sucrose metabolism; Phosphotransferase system (PTS)","G","908340.HMPREF9406_0360","2.96E-66","201","PTS system, lactose","-","-","2.7.1.196,2.7.1.205","ko:K02759","ko00500,ko02060,map00500,map02060","M00275","R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.3.2","-","-","PTS_IIA","SSPTS","EnzymeIIA","cellobiose"
"RCHGF001074",,"M42 glutamyl aminopeptidase","negative",1041,347,"-0.144956772334294","38275.2634000001","5.54058837890625","None","K18530 - frvX - putative aminopeptidase FrvX [EC:3.4.11.-] [3.4.11.-]","(G) Carbohydrate metabolism and transport","-","G","908340.HMPREF9406_0361","2.04E-253","694","M42 glutamyl aminopeptidase","-","-","-","-","-","-","-","-","-","-","-","-","Peptidase_M42","NA","NA","NA"
"RCHGF001075","Transcription antiterminator, BglG family","HTH domain protein","negative",1896,632,"-0.247468354430379","74312.9340000004","5.73089599609375","None","K03491 - licR - lichenan operon transcriptional antiterminator","(G) Carbohydrate metabolism and transport; (K) Transcription; (T) Signal Transduction","-","GKT","908340.HMPREF9406_0362","0","1222","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2","-","-","-","ko:K03491","-","-","-","-","ko00000,ko03000","-","-","-","HTH_11,Mga,PRD,PTS_EIIA_2","NA","NA","NA"
"RCHGF001076",,"hypothetical protein","positive",156,52,"-0.080769230769231","6175.2264","9.22149658203125","None",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"RCHGF001077",,"hypothetical protein","negative",822,274,"-0.436496350364964","31326.0595","5.32330322265625","None",,"NA","-","-","908340.HMPREF9406_0364","9.72E-188","522","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RCHGF001078","Na+ driven multidrug efflux pump","MATE efflux family protein","positive",1353,451,"0.755432372505544","49528.7997000001","9.64703369140625","None","K07025 - K07025 - putative hydrolase of the HAD superfamily","NA","-","V","908340.HMPREF9406_0365","0","865","Mate efflux family protein","-","-","-","-","-","-","-","-","-","-","-","-","MatE","MOP","MATE","multidrug efflux"
"RCHGF001079","ATP-dependent RNA helicase srmB (EC 3.6.4.13)","DEAD/DEAH box helicase (EC 3.6.1.-)","negative",1311,437,"-0.436842105263158","48938.7708000001","10.0368041992188","rhlE","K11927 - rhlE - ATP-dependent RNA helicase RhlE [EC:3.6.4.13] [3.6.4.13]","(L) Replication and repair","RNA degradation","L","908340.HMPREF9406_0366","1.41E-285","783","DEAD-box RNA helicase involved in the assembly of the 50S ribosomal subunit. Has an RNA-dependent ATPase activity, which is specific for 23S rRNA, and a 3' to 5' RNA helicase activity that uses the energy of ATP hydrolysis to destabilize and unwind short rRNA duplexes","rhlE","-","3.6.4.13","ko:K11927","ko03018,map03018","-","-","-","ko00000,ko00001,ko01000,ko03019","-","-","-","DEAD,Helicase_C","NA","NA","NA"
"RCHGF001080","Hydrolase (HAD superfamily)","Cof-like hydrolase","negative",810,270,"-0.121481481481481","30410.6762","5.21282958984375","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0367","2.22E-191","531","HAD hydrolase, IIB family","supH","-","-","-","-","-","-","-","-","-","-","-","Hydrolase_3","NA","NA","NA"
"RCHGF001081",,"putative hexulose-6-phosphate isomerase","negative",843,281,"-0.495373665480427","32337.452","5.90789794921875","None","K03079 - ulaE, sgaU, sgbU - L-ribulose-5-phosphate 3-epimerase [EC:5.1.3.22] [5.1.3.22]","(G) Carbohydrate metabolism and transport","Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments","G","908340.HMPREF9406_0368","1.86E-209","578","hexulose-6-phosphate isomerase","ulaE","-","5.1.3.22","ko:K03079","ko00040,ko00053,ko01100,ko01120,map00040,map00053,map01100,map01120","M00550","R03244","RC00540","ko00000,ko00001,ko00002,ko01000","-","-","-","AP_endonuc_2","NA","NA","NA"
"RCHGF001082","L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)","L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4)","negative",705,235,"-0.24","25824.0816","5.62603759765625","araD","K03077 - araD, ulaF, sgaE, sgbE - L-ribulose-5-phosphate 4-epimerase [EC:5.1.3.4] [5.1.3.4]","(G) Carbohydrate metabolism and transport","Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments","G","908340.HMPREF9406_0369","3.57E-175","487","L-ribulose-5-phosphate 4-epimerase","araD","-","5.1.3.4","ko:K03077","ko00040,ko00053,ko01100,ko01120,map00040,map00053,map01100,map01120","M00550","R05850","RC01479","ko00000,ko00001,ko00002,ko01000","-","-","iHN637.CLJU_RS00590","Aldolase_II","NA","NA","NA"
"RCHGF001083",,"hypothetical protein","negative",1023,341,"-0.307624633431085","38655.3795","5.42034912109375","None",,"NA","-","-","908340.HMPREF9406_0370","2.05E-259","709","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RCHGF001084","PTS system, 3-keto-L-gulonate specific IIB component (EC 2.7.1.69)","PTS system, Lactose/Cellobiose specific IIB subunit","negative",297,99,"0.109090909090909","10477.3872","9.30133056640625","None","K02822 - PTS-Ula-EIIB, ulaB, sgaB - PTS system, ascorbate-specific IIB component [EC:2.7.1.194] [2.7.1.194]","(G) Carbohydrate metabolism and transport","Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Phosphotransferase system (PTS)","G","908340.HMPREF9406_0371","6.96E-64","195","PTS system, Lactose/Cellobiose specific IIB subunit","sgaB","-","2.7.1.194","ko:K02822","ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060","M00283,M00550","R07671","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.7.1","-","-","PTS_IIB","SSPTS","EnzymeIIB","galactitol"
"RCHGF001085","PTS system, 3-keto-L-gulonate specific IIC component (EC 2.7.1.69)","putative sugar-specific permease, SgaT/UlaA","negative",1470,490,"0.787142857142859","53980.7422","8.58343505859375","None","K03475 - PTS-Ula-EIIC, ulaA, sgaT - PTS system, ascorbate-specific IIC component","(S) Function Unknown","Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Phosphotransferase system (PTS)","S","908340.HMPREF9406_0372","0","931","PTS system","ulaA","-","-","ko:K03475","ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060","M00283,M00550","R07671","RC00017,RC03206","ko00000,ko00001,ko00002,ko02000","4.A.7.1","-","-","EIIC-GAT","SSPTS","EnzymeIIC","ascorbate"
"RCHGF001086",,"phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2","negative",453,151,"-0.245033112582781","17171.1788","4.55035400390625","None","K02821 - PTS-Ula-EIIA, ulaC, sgaA - PTS system, ascorbate-specific IIA component [EC:2.7.1.194] [2.7.1.194]","(G) Carbohydrate metabolism and transport","Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Phosphotransferase system (PTS)","G","908340.HMPREF9406_0373","3.19E-105","303","Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2","-","-","2.7.1.194","ko:K02821","ko00053,ko01100,ko01120,ko02060,map00053,map01100,map01120,map02060","M00283,M00550","R07671","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.7.1","-","-","PTS_EIIA_2","SSPTS","EnzymeIIA","fructose"
"RCHGF001087",,"hypothetical protein","negative",1110,370,"-0.511891891891892","42549.7513","5.84368896484375","None","K03476 - ulaG - L-ascorbate 6-phosphate lactonase [EC:3.1.1.-] [3.1.1.-]","(S) Function Unknown","Ascorbate and aldarate metabolism; Metabolic pathways; Microbial metabolism in diverse environments","S","908340.HMPREF9406_0374","1.24E-286","780","Beta-lactamase superfamily domain","ulaG","-","-","ko:K03476","ko00053,ko01100,ko01120,map00053,map01100,map01120","M00550","R07677","RC02793","ko00000,ko00001,ko00002,ko01000","-","-","-","Lactamase_B_2,Lactamase_B_3","NA","NA","NA"
"RCHGF001088",,"hypothetical protein","positive",795,265,"-0.317735849056604","31500.4684000001","9.39801025390625","None",,"NA","-","-","908340.HMPREF9406_0375","9.1E-193","534","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RCHGF001089","Transcriptional regulator, DeoR family","transcriptional regulator, DeoR family","positive",801,267,"-0.071535580524345","29632.7406","5.82379150390625","None","K03436 - fruR2, fruR - DeoR family transcriptional regulator, fructose operon transcriptional repressor","(K) Transcription","-","K","908340.HMPREF9406_0376","2.69E-186","518","Transcriptional regulator, DeoR family","-","-","-","-","-","-","-","-","-","-","-","-","DeoRC,HTH_DeoR","NA","NA","NA"
"RCHGF001090",,"hypothetical protein","positive",300,100,"-0.457","11922.4885","6.70794677734375","None",,"NA","-","-","908340.HMPREF9406_0377","9.81E-69","207","-","-","-","-","-","-","-","-","-","-","-","-","-","-","NA","NA","NA"
"RCHGF001091","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)","2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60)","positive",672,224,"-0.272767857142857","25118.564","5.77862548828125","ispD","K00991 - ispD - 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [EC:2.7.7.60] [2.7.7.60]","(I) Lipid metabolism","Terpenoid backbone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; NA","I","908340.HMPREF9406_0378","3.69E-158","443","Catalyzes the formation of 4-diphosphocytidyl-2-C- methyl-D-erythritol from CTP and 2-C-methyl-D-erythritol 4- phosphate (MEP)","ispD","-","2.7.7.60","ko:K00991","ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130","M00096","R05633","RC00002","ko00000,ko00001,ko00002,ko01000","-","-","iHN637.CLJU_RS20335","IspD","NA","NA","NA"
"RCHGF001092","Beta-lactamase (EC 3.5.2.6)","metallo-beta-lactamase domain protein","positive",795,265,"-0.472830188679246","31052.2071","7.25592041015625","None",,"(S) Function Unknown","-","S","908340.HMPREF9406_0379","1.71E-197","546","Zn-dependent hydrolase","-","-","-","-","-","-","-","-","-","-","-","-","Lactamase_B","NA","NA","NA"
"RCHGF001093","PTS system, glucitol/sorbitol-specific IIA component (EC 2.7.1.69)","PTS system glucitol/sorbitol-specific IIA component","negative",366,122,"0.111475409836066","13525.3729","4.66790771484375","None","K02781 - PTS-Gut-EIIA, srlB - PTS system, glucitol/sorbitol-specific IIA component [EC:2.7.1.198] [2.7.1.198]","(G) Carbohydrate metabolism and transport","Fructose and mannose metabolism; Phosphotransferase system (PTS)","G","908340.HMPREF9406_0380","5.14E-88","258","PTS system glucitol sorbitol-specific IIA component","-","-","2.7.1.198","ko:K02781","ko00051,ko02060,map00051,map02060","M00280","R05820","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000","4.A.4.1","-","-","PTSIIA_gutA","SSPTS","EnzymeIIA","glucitol/sorbitol"
"RCHGF001094",,"PTS system, glucitol/sorbitol-specific, IIC component (EC 2.7.1.69)","negative",1530,510,"0.446666666666666","54533.6553","6.92742919921875","srlA",,"(G) Carbohydrate metabolism and transport","-","G","908340.HMPREF9406_0381","0","979","PTS system glucitol sorbitol-specific","-","-","-","-","-","-","-","-","-","-","-","-","EIIBC-GUT_C,EIIBC-GUT_N","SSPTS","EnzymeIIB","glucitol/sorbitol"
"RCHGF001095","Transcriptional regulatory protein","putative sugar-binding domain protein","negative",1038,346,"-0.05635838150289","38628.635","7.53533935546875","None","K02899 - RP-L27, MRPL27, rpmA - large subunit ribosomal protein L27","(K) Transcription","-","K","908340.HMPREF9406_0382","5.56E-246","676","sugar-binding domain protein","sorC1","-","-","-","-","-","-","-","-","-","-","-","HTH_23,HTH_24,HTH_Crp_2,Sigma70_r4,Sugar-bind","NA","NA","NA"
"RCHGF001096","Homoserine dehydrogenase","hypothetical protein","negative",1290,430,"-0.180232558139535","46598.2985","5.63336181640625","None","K02392 - flgG - flagellar basal-body rod protein FlgG","(E) Amino Acid metabolis and transport","-","E","908340.HMPREF9406_0383","8.9899999988502e-315","857","domain protein","-","-","-","-","-","-","-","-","-","-","-","-","DapB_N,F420_oxidored,NAD_binding_3,SAF","NA","NA","NA"
