id,Category,Locus,Gene Name,Aliases,Assigned Function,deseq2_log2_FC,Avg. Expression,lfc SE,wald stat,p-value,deseq2_q_value,ERGO.Function,GenBank.Function,strand,length.nt.,length.aa.,GRAVY,Molecular.Weight,Iso.electric.Point,gene.name,Kegg.Orthology,COG_Category_description,KEGG_Pathway_names,eggnog_COG_category,eggnog_seed_ortholog,eggnog_evalue,eggnog_score,eggnog_Description,eggnog_Preferred_name,eggnog_GOs,eggnog_EC,eggnog_KEGG_ko,eggnog_KEGG_Pathway,eggnog_KEGG_Module,eggnog_KEGG_Reaction,eggnog_KEGG_rclass,eggnog_BRITE,eggnog_KEGG_TC,eggnog_CAZy,eggnog_BiGG_Reaction,eggnog_PFAMs,TransAAP_Transporter_Family,TransAAP_Subfamily,TransAAP_Substrate_Function
RCHGF000244,Uncategorized;,AENW01000058,null,"HMPREF9406_1534, EFR35853.1",Hydrolase (HAD superfamily),1.8,615,0.115,15.7,2.3799999999999994e-55,8.479999999999999e-54,Hydrolase (HAD superfamily),YmdA/YtgF family protein,positive,1551,517,-0.377176015473887,58173.4336000001,5.77313232421875,None,K18682 - rny - ribonucrease Y [EC:3.1.-.-] [3.1.-.-],(S) Function Unknown,RNA degradation,S,908340.HMPREF9406_1534,0,889,Endoribonuclease that initiates mRNA decay,rny,-,-,ko:K18682,"ko03018,map03018",-,-,-,"ko00000,ko00001,ko01000,ko03019",-,-,-,"DUF3552,HD,KH_1",NA,NA,NA
RCHGF000245,Uncategorized;,AENW01000058,null,"HMPREF9406_1535, EFR35864.1",Hypothetical protein,1.12,238,0.251,4.46,8.09e-6,4.08e-5,Hypothetical protein,putative metallophosphoesterase,positive,783,261,-0.0727969348659,29155.0541,5.19464111328125,None,K09769 - K09769 - uncharacterized protein,(S) Function Unknown,-,S,908340.HMPREF9406_1535,1.29e-190,528,YmdB-like protein,-,-,-,ko:K09769,-,-,-,-,ko00000,-,-,-,YmdB,NA,NA,NA
RCHGF000255,Uncategorized;,AENW01000058,null,"HMPREF9406_1545, EFR35868.1",Single-strand DNA binding protein,-2,41.5,0.387,-5.15,2.55e-7,1.6e-6,Single-strand DNA binding protein,single-strand binding family protein,positive,426,142,-0.420422535211268,15964.9154,7.02960205078125,None,NA,(L) Replication and repair,-,L,908340.HMPREF9406_1545,1.68e-98,286,Single-strand binding protein family,-,-,-,-,-,-,-,-,-,-,-,-,SSB,NA,NA,NA
RCHGF000260,Uncategorized;,AENW01000058,null,"HMPREF9406_1550, EFR35751.1",NA,5.09,7720,0.466,10.9,9.919999999999999e-28,1.79e-26,NA,hypothetical protein,negative,168,56,2.37678571428571,6128.6707,6.11431884765625,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000268,Uncategorized;,AENW01000058,null,"HMPREF9406_1558, EFR35721.1",NA,-1.13,5.12,0.44,-2.56,0.0105,0.0253,NA,hypothetical protein,positive,213,71,-0.254929577464789,7908.8927,4.52569580078125,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000291,Uncategorized;,AENW01000058,null,"HMPREF9406_1581, EFR35653.1",NA,1.42,13.9,0.296,4.8,1.6e-6,9e-6,NA,hypothetical protein,positive,207,69,-0.902898550724638,7607.417,8.57391357421875,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000304,Uncategorized;,AENW01000058,gpr,"gpr, HMPREF9406_1594, EFR35676.1",Spore protease (EC 3.4.99.-),2.77,77.3,0.245,11.3,1.65e-29,3.19e-28,Spore protease (EC 3.4.99.-),GPR endopeptidase (EC 3.4.24.78),positive,873,291,-0.212027491408935,32500.5428,5.32647705078125,gpr,K06012 - gpr - spore protease [EC:3.4.24.78] [3.4.24.78],(C) Energy production and conversion,-,C,908340.HMPREF9406_1594,1.3e-205,569,"Initiates the rapid degradation of small, acid-soluble proteins during spore germination",gpr,-,3.4.24.78,ko:K06012,-,-,-,-,"ko00000,ko01000,ko01002",-,-,-,Peptidase_A25,NA,NA,NA
RCHGF000305,Uncategorized;,AENW01000058,spoIIP,"spoIIP, HMPREF9406_1595, EFR35716.1",Stage II sporulation protein P,3.37,52.8,0.355,9.5,2.0600000000000002e-21,3.01e-20,Stage II sporulation protein P,stage II sporulation protein P,positive,954,318,-0.529559748427673,35559.7046,6.04681396484375,spoIIP,K06385 - spoIIP - stage II sporulation protein P,(M) Cell wall/membrane/envelop biogenesis,-,M,908340.HMPREF9406_1595,1.8899999999999997e-207,576,stage II sporulation protein P,spoIIP,-,-,ko:K06385,-,-,-,-,ko00000,-,-,-,SpoIIP,NA,NA,NA
RCHGF000306,Uncategorized;,AENW01000058,null,"HMPREF9406_1596, EFR35783.1",NA,4.59,25.1,0.261,17.6,4.37e-69,1.94e-67,NA,hypothetical protein,positive,294,98,-0.098979591836735,10806.1066,4.64251708984375,None,NA,NA,-,-,908340.HMPREF9406_1596,1.0399999999999999e-60,187,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RCHGF000324,Uncategorized;,AENW01000058,null,"HMPREF9406_1614, EFR35828.1","Dipicolinate synthase, A chain",5.66,104,0.293,19.3,2.6899999999999998e-83,1.4e-81,"Dipicolinate synthase, A chain",hypothetical protein,positive,771,257,0.057587548638132,28982.4269,5.99456787109375,None,NA,(E) Amino Acid metabolis and transport,"Phenylalanine, tyrosine and tryptophan biosynthesis; Novobiocin biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; NA; Biosynthesis of amino acids",E,908340.HMPREF9406_1614,3.31e-191,530,prephenate dehydrogenase (NADP+) activity,-,-,"1.3.1.12,1.5.1.28","ko:K04517,ko:K04940,ko:K06410","ko00400,ko00401,ko01100,ko01110,ko01130,ko01230,map00400,map00401,map01100,map01110,map01130,map01230",M00025,R01728,RC00125,"ko00000,ko00001,ko00002,ko01000",-,-,-,"2-Hacid_dh_C,AlaDh_PNT_C,DpaA_N,NAD_Gly3P_dh_N,Octopine_DH",NA,NA,NA
RCHGF000325,Uncategorized;,AENW01000058,spoVFB,"spoVFB, HMPREF9406_1615, EFR35720.1","Dipicolinate synthase, B chain",6.9,172,0.255,27,7.659999999999999e-161,9.569999999999998e-159,"Dipicolinate synthase, B chain",dipicolinate synthase subunit B,positive,576,192,0.0484375,21422.5719,6.28936767578125,spoVFB,K06411 - spoVFB - dipicolinate synthase subunit B,(H) Coenzyme metabolis,-,H,908340.HMPREF9406_1615,1.3699999999999999e-135,384,"Together with DpaA, catalyzes the conversion of dihydrodipicolinate to dipicolinate (DPA)",spoVFB,-,-,ko:K06411,-,-,-,-,ko00000,-,-,-,Flavoprotein,NA,NA,NA
RCHGF000326,metabolic process;cellular process;,AENW01000058,dapA,"dapA, HMPREF9406_1616, EFR35723.1",Dihydrodipicolinate synthase (EC 4.2.1.52),6.8,668,0.192,35.4,9.02e-275,3.8299999999999994e-272,Dihydrodipicolinate synthase (EC 4.2.1.52),dihydrodipicolinate synthase (EC 4.3.3.7),positive,864,288,-0.261111111111111,32778.3605,6.42156982421875,dapA,K01714 - dapA - 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7] [4.3.3.7],(E) Amino Acid metabolis and transport,Monobactam biosynthesis; Lysine biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Biosynthesis of amino acids,E,908340.HMPREF9406_1616,9.99e-213,587,Catalyzes the condensation of (S)-aspartate-beta- semialdehyde (S)-ASA and pyruvate to 4-hydroxy- tetrahydrodipicolinate (HTPA),dapA2,-,4.3.3.7,ko:K01714,"ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230","M00016,M00525,M00526,M00527",R10147,"RC03062,RC03063","ko00000,ko00001,ko00002,ko01000",-,-,-,DHDPS,NA,NA,NA
RCHGF000327,Uncategorized;,AENW01000058,null,"HMPREF9406_1617, EFR35854.1",Hypothetical cytosolic protein,5.52,81.6,0.413,13.4,8.39e-41,2.16e-39,Hypothetical cytosolic protein,hypothetical protein,positive,177,59,-0.011864406779661,6944.7131,4.04193115234375,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_1617,7.88e-34,116,Sporulation protein Cse60,-,-,-,-,-,-,-,-,-,-,-,-,Spore_Cse60,NA,NA,NA
RCHGF000328,Uncategorized;,AENW01000058,null,"HMPREF9406_1618, EFR35728.1",NA,6.33,358,0.562,11.3,2.0500000000000002e-29,3.95e-28,NA,hypothetical protein,positive,162,54,-0.487037037037037,6160.0567,6.77349853515625,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_1618,2.87e-36,122,Domain of Unknown Function (DUF1540),-,-,-,-,-,-,-,-,-,-,-,-,DUF1540,NA,NA,NA
RCHGF000329,localization;biological regulation;,AENW01000058,null,"HMPREF9406_1619, EFR35834.1",Ferrichrome-binding protein,1.16,52.9,0.226,5.16,2.51e-7,1.58e-6,Ferrichrome-binding protein,periplasmic binding protein,positive,930,310,-0.148064516129032,33981.5836,4.92193603515625,None,K02016 - ABC.FEV.S - iron complex transport system substrate-binding protein,(P) Inorganic ion transport and metabolism,ABC transporters,P,908340.HMPREF9406_1619,1.26e-217,601,Periplasmic binding protein,fhuD,-,-,ko:K02016,"ko02010,map02010",M00240,-,-,"ko00000,ko00001,ko00002,ko02000",3.A.1.14,-,-,Peripla_BP_2,ABC,binding,iron-hydroxamate
RCHGF000340,Uncategorized;,AENW01000058,null,"HMPREF9406_1630, EFR35742.1",NA,-1.22,10.6,0.395,-3.09,0.00199,0.00591,NA,hypothetical protein,negative,171,57,0.228070175438596,6909.3678,9.93487548828125,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000343,Uncategorized;,AENW01000058,null,"HMPREF9406_1633, EFR35658.1",Maltose permease,2.08,57,0.21,9.89,4.5399999999999993e-23,6.96e-22,Maltose permease,"transporter, major facilitator family protein",positive,1161,387,0.683204134366926,44188.5738000001,9.61981201171875,None,NA,(E) Amino Acid metabolis and transport; (G) Carbohydrate metabolism and transport; (P) Inorganic ion transport and metabolism,-,EGP,908340.HMPREF9406_1633,1.5300000000000001e-266,731,MFS_1 like family,-,-,-,-,-,-,-,-,-,-,-,-,-,MFS,NA,multidrug efflux
RCHGF000344,Uncategorized;,AENW01000058,null,"HMPREF9406_1634, EFR35796.1",NA,1.17,41.1,0.243,4.79,1.65e-6,9.29e-6,NA,hypothetical protein,positive,519,173,-0.309248554913295,20427.0223,5.23822021484375,None,NA,NA,-,-,908340.HMPREF9406_1634,2.9500000000000003e-123,351,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RCHGF000345,metabolic process;cellular process;,AENW01000058,null,"HMPREF9406_1635, EFR35673.1",Hydrolase (HAD superfamily),1.59,171,0.296,5.37,8.06e-8,5.44e-7,Hydrolase (HAD superfamily),"putative HAD hydrolase, TIGR01457 family",positive,771,257,-0.144357976653697,29074.0604,5.68511962890625,None,K01101 - E3.1.3.41 - 4-nitrophenyl phosphatase [EC:3.1.3.41] [3.1.3.41],(G) Carbohydrate metabolism and transport,-,G,908340.HMPREF9406_1635,1.9900000000000003e-192,533,Catalyzes the dephosphorylation of 2-6 carbon acid sugars in vitro,-,-,-,ko:K02566,-,-,-,-,ko00000,-,-,-,"Hydrolase_6,Hydrolase_like",NA,NA,NA
RCHGF000346,Uncategorized;,AENW01000058,null,"HMPREF9406_1637, EFR35771.1",NA,6.98,332,0.312,22.4,4.74e-111,3.3599999999999996e-109,NA,SNARE-like domain protein,positive,564,188,0.613829787234042,21182.0805,9.27349853515625,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_1637,2.19e-130,370,SNARE associated Golgi protein,-,-,-,-,-,-,-,-,-,-,-,-,SNARE_assoc,NA,NA,NA
RCHGF000347,metabolic process;cellular process;,AENW01000058,null,"HMPREF9406_1636, EFR35648.1","Glutamine amidotransferase, class I",6.12,159,0.229,26.7,2.1199999999999996e-157,2.37e-155,"Glutamine amidotransferase, class I",peptidase C26,negative,645,215,-0.135348837209302,24560.7545,5.44329833984375,None,K07010 - K07010 - putative glutamine amidotransferase,(S) Function Unknown,-,S,908340.HMPREF9406_1636,3.8799999999999995e-160,447,Peptidase C26,-,-,-,ko:K07010,-,-,-,-,"ko00000,ko01002",-,-,-,Peptidase_C26,NA,NA,NA
RCHGF000348,metabolic process;cellular process;biological regulation;,AENW01000058,null,"HMPREF9406_1638, EFR35872.1",Radical SAM superfamily protein,1.75,66.3,0.138,12.6,1.54e-36,3.72e-35,Radical SAM superfamily protein,"radical SAM protein, TIGR01212 family",negative,1029,343,-0.266180758017493,39282.6115,6.10418701171875,None,K07139 - K07139 - uncharacterized protein,(S) Function Unknown,-,S,908340.HMPREF9406_1638,6.88e-259,708,radical SAM protein,ytqA,-,-,ko:K07139,-,-,-,-,ko00000,-,-,-,"Radical_SAM,Radical_SAM_C",NA,NA,NA
RCHGF000361,metabolic process;cellular process;,AENW01000058,null,"HMPREF9406_1651, EFR35686.1",NADH-dependent flavin oxidoreductase (EC 1.-.-.-),1.35,86,0.396,3.4,6.69e-4,0.00226,NADH-dependent flavin oxidoreductase (EC 1.-.-.-),pyridine nucleotide-disulfide oxidoreductase,positive,1992,664,-0.192469879518073,73379.2322000002,6.03265380859375,None,"K00219 - fadH - 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34] [1.3.1.34]",(C) Energy production and conversion,-,C,908340.HMPREF9406_1651,0,1333,NADH flavin oxidoreductase NADH oxidase,-,-,-,-,-,-,-,-,-,-,-,-,"Oxidored_FMN,Pyr_redox_2",NA,NA,NA
RCHGF000362,metabolic process;cellular process;,AENW01000058,aroE,"aroE, HMPREF9406_1652, EFR35747.1",Shikimate 5-dehydrogenase (EC 1.1.1.25),1.18,35.3,0.336,3.52,4.31e-4,0.00151,Shikimate 5-dehydrogenase (EC 1.1.1.25),shikimate dehydrogenase (EC 1.1.1.25),positive,870,290,-0.111034482758621,31838.3086,5.21136474609375,aroE,K00014 - aroE - shikimate dehydrogenase [EC:1.1.1.25] [1.1.1.25],(E) Amino Acid metabolis and transport,"Phenylalanine, tyrosine and tryptophan biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; NA; Biosynthesis of amino acids",E,908340.HMPREF9406_1652,8.83e-208,574,"Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)",aroE,-,1.1.1.25,ko:K00014,"ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230",M00022,R02413,RC00206,"ko00000,ko00001,ko00002,ko01000",-,-,iHN637.CLJU_RS14185,"Shikimate_DH,Shikimate_dh_N",NA,NA,NA
RCHGF000368,Uncategorized;,AENW01000058,null,"HMPREF9406_1658, EFR35816.1",Oxidoreductase (glutamate synthase related),1.13,64.9,0.217,5.22,1.76e-7,1.14e-6,Oxidoreductase (glutamate synthase related),"ferredoxin--NADP+ reductase, subunit alpha (EC 1.18.1.2)",positive,840,280,0.081785714285714,30349.86,5.44720458984375,None,K00528 - fpr - ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1] [1.18.1.2 1.19.1.1],(C) Energy production and conversion,Sulfur metabolism; Microbial metabolism in diverse environments,C,908340.HMPREF9406_1658,2.5199999999999995e-202,560,Oxidoreductase,nfnA,-,"1.18.1.2,1.19.1.1","ko:K00528,ko:K16951","ko00920,ko01120,map00920,map01120",-,"R00858,R10146,R10159",RC00065,"ko00000,ko00001,ko01000",-,-,-,"DHODB_Fe-S_bind,NAD_binding_1",NA,NA,NA
RCHGF000369,Uncategorized;,AENW01000058,gltA,"gltA, HMPREF9406_1659, EFR35714.1",Glutamate synthase [NADPH] (EC 1.4.1.13),1.18,178,0.223,5.3,1.15e-7,7.62e-7,Glutamate synthase [NADPH] (EC 1.4.1.13),"glutamate synthase (NADPH), homotetrameric (EC 1.4.1.13)",positive,1383,461,-0.17180043383948,49792.5747,5.14739990234375,gltA,K00266 - gltD - glutamate synthase (NADPH) small chain [EC:1.4.1.13] [1.4.1.13],(C) Energy production and conversion,"Alanine, aspartate and glutamate metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Nitrogen metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism; Biosynthesis of amino acids",C,908340.HMPREF9406_1659,0,923,"glutamate synthase (NADPH), homotetrameric",gltA,-,"1.17.1.9,1.4.1.13,1.4.1.14","ko:K00123,ko:K00266","ko00250,ko00630,ko00680,ko00910,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00250,map00630,map00680,map00910,map01100,map01110,map01120,map01130,map01200,map01230",-,"R00093,R00114,R00248,R00519","RC00006,RC00010,RC02796,RC02799","ko00000,ko00001,ko01000",-,-,-,"Fer4_20,Pyr_redox_2",NA,NA,NA
RCHGF000370,Uncategorized;,AENW01000058,null,"HMPREF9406_1660, EFR35718.1",NA,-1.27,185,0.298,-4.25,2.18e-5,1.02e-4,NA,hypothetical protein,positive,240,80,0.915,8847.7137,9.99676513671875,None,NA,NA,-,-,908340.HMPREF9406_1660,8.889999999999999e-47,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RCHGF000374,Uncategorized;,AENW01000058,null,"HMPREF9406_1665, EFR35835.1",Hypothetical membrane spanning protein,-1.05,176,0.164,-6.41,1.44e-10,1.25e-9,Hypothetical membrane spanning protein,hypothetical protein,positive,1239,413,0.754479418886199,47914.0567,9.36944580078125,None,NA,(I) Lipid metabolism,-,I,908340.HMPREF9406_1665,6.08e-293,800,Acyltransferase family,-,-,-,-,-,-,-,-,-,-,-,-,Acyl_transf_3,NA,NA,NA
RCHGF000377,Uncategorized;,AENW01000057,null,"HMPREF9406_3381, EFR35885.1",NA,-2.05,83.5,0.245,-8.36,6.1e-17,7.65e-16,NA,hypothetical protein,negative,215,71,-0.520833333333333,8669.81549999999,9.22296142578125,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RCHGF000381,Uncategorized;,AENW01000056,null,"HMPREF9406_3029, EFR36013.1",NA,-1.07,11.4,0.316,-3.38,7.33e-4,0.00245,NA,hypothetical protein,negative,330,110,-0.491818181818182,12631.3327,4.70867919921875,None,NA,(S) Function Unknown,-,S,908340.HMPREF9406_3029,2.2099999999999998e-72,217,double-stranded DNA endodeoxyribonuclease activity,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA
RCHGF000393,metabolic process;,AENW01000056,null,"HMPREF9406_3041, EFR35953.1",Fructose/tagatose biphosphate aldolases,2.01,44.8,0.255,7.89,3.07e-15,3.53e-14,Fructose/tagatose biphosphate aldolases,ketose-bisphosphate aldolase,positive,867,289,0.098615916955017,31396.6722,4.81414794921875,None,"K01624 - FBA, fbaA - fructose-bisphosphate aldolase, class II [EC:4.1.2.13] [4.1.2.13]",(G) Carbohydrate metabolism and transport,Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Methane metabolism; Carbon fixation in photosynthetic organisms; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; NA; Carbon metabolism; Biosynthesis of amino acids,G,908340.HMPREF9406_3041,2.62e-204,565,aldolase,-,-,4.1.2.13,ko:K01624,"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230","M00001,M00003,M00165,M00167,M00344,M00345","R01068,R01070,R01829,R02568","RC00438,RC00439,RC00603,RC00604","ko00000,ko00001,ko00002,ko01000",-,-,-,F_bP_aldolase,NA,NA,NA
RCHGF000394,metabolic process;cellular process;,AENW01000056,null,"HMPREF9406_3042, EFR36072.1",Mannitol 2-dehydrogenase (EC 1.1.1.67),1.66,34.9,0.244,6.82,8.92e-12,8.45e-11,Mannitol 2-dehydrogenase (EC 1.1.1.67),putative chlorophyll synthesis pathway protein BchC,positive,1026,342,0.103801169590643,37162.6721,5.69940185546875,None,"K00008 - SORD, gutB - L-iditol 2-dehydrogenase [EC:1.1.1.14] [1.1.1.14]",(E) Amino Acid metabolis and transport,Butanoate metabolism,E,908340.HMPREF9406_3042,2.49e-256,701,Alcohol dehydrogenase GroES-like domain,-,-,"1.1.1.303,1.1.1.4",ko:K00004,"ko00650,map00650",-,"R02855,R02946,R10504","RC00205,RC00525","ko00000,ko00001,ko01000",-,-,-,"ADH_N,ADH_N_assoc,ADH_zinc_N",NA,NA,NA
RCHGF000405,Uncategorized;,AENW01000056,null,"HMPREF9406_3053, EFR35980.1",Arabinose-5-phosphate isomerase (EC 5.3.1.13),-1.27,14.7,0.28,-4.54,5.62e-6,2.93e-5,Arabinose-5-phosphate isomerase (EC 5.3.1.13),"sugar isomerase, KpsF/GutQ family",negative,591,197,0.243654822335025,20990.2322,6.29461669921875,None,"K06041 - kdsD, kpsF - arabinose-5-phosphate isomerase [EC:5.3.1.13] [5.3.1.13]",(M) Cell wall/membrane/envelop biogenesis,Lipopolysaccharide biosynthesis; Metabolic pathways,M,908340.HMPREF9406_3053,2.54e-138,391,SIS domain,-,-,5.3.1.13,ko:K06041,"ko00540,ko01100,map00540,map01100",M00063,R01530,RC00541,"ko00000,ko00001,ko00002,ko01000,ko01005",-,-,-,SIS,NA,NA,NA
RCHGF000406,metabolic process;cellular process;biological regulation;,AENW01000056,null,"HMPREF9406_3054, EFR36090.1",Cystathionine beta-lyase (EC 4.4.1.8) / MalT protein regulator,-1.05,9.45,0.309,-3.39,7.11e-4,0.00239,Cystathionine beta-lyase (EC 4.4.1.8) / MalT protein regulator,"aminotransferase, class I/II (EC 2.6.1.-)",negative,1173,391,-0.261381074168798,45597.9003000001,5.85931396484375,None,"K14155 - patB, malY - cysteine-S-conjugate beta-lyase [EC:4.4.1.13] [4.4.1.13]",(E) Amino Acid metabolis and transport,Cysteine and methionine metabolism; Selenocompound metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids,E,908340.HMPREF9406_3054,9.009999999999999e-302,820,Aminotransferase class I and II,-,-,4.4.1.8,ko:K14155,"ko00270,ko00450,ko01100,ko01110,ko01230,map00270,map00450,map01100,map01110,map01230",-,"R00782,R01286,R02408,R04941","RC00056,RC00069,RC00382,RC00488,RC00710,RC01245,RC02303","ko00000,ko00001,ko01000,ko01007",-,-,-,Aminotran_1_2,NA,NA,NA
RCHGF000407,Uncategorized;,AENW01000056,null,"HMPREF9406_3055, EFR35892.1","PTS system, glucose-specific IIABC component (EC 2.7.1.69)",-1.45,45.3,0.228,-6.38,1.75e-10,1.5e-9,"PTS system, glucose-specific IIABC component (EC 2.7.1.69)",putative PTS system maltose and glucose-specific IIBC component,negative,1572,524,0.499618320610689,57756.6715,6.95965576171875,None,"K02790 - PTS-MalGlc-EIIB, malX - PTS system, maltose/glucose-specific IIB component [EC:2.7.1.199 2.7.1.208] [2.7.1.208 2.7.1.199]; K02791 - PTS-MalGlc-EIIC, malX - PTS system, maltose/glucose-specific IIC component",(G) Carbohydrate metabolism and transport,Glycolysis / Gluconeogenesis; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Phosphotransferase system (PTS),G,908340.HMPREF9406_3055,0,1021,Pts system,-,-,"2.7.1.199,2.7.1.208","ko:K02790,ko:K02791","ko00010,ko00500,ko00520,ko02060,map00010,map00500,map00520,map02060",M00266,"R02738,R04111","RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000",4.A.1.1.3,-,-,"PTS_EIIB,PTS_EIIC",SSPTS,EnzymeIIABC,glucose/maltose/N-acetylglucosamine
RCHGF000408,metabolic process;cellular process;biological regulation;,AENW01000056,licT,"licT, HMPREF9406_3056, EFR35934.1","Transcription antiterminator, BglG family",-2.04,35.8,0.251,-8.14,4e-16,4.78e-15,"Transcription antiterminator, BglG family",transcription antiterminator LicT,negative,831,277,-0.332851985559567,32809.8736,8.39239501953125,licT,"K03488 - licT, bglG - beta-glucoside operon transcriptional antiterminator",(K) Transcription,-,K,908340.HMPREF9406_3056,3.45e-203,561,CAT RNA binding domain,-,-,-,ko:K03488,-,-,-,-,"ko00000,ko03000",-,-,-,"CAT_RBD,PRD",NA,NA,NA
RCHGF000410,Uncategorized;,AENW01000056,null,"HMPREF9406_3058, EFR36032.1",NA,1.97,97.3,0.287,6.86,6.93e-12,6.62e-11,NA,septum formation initiator,negative,207,69,-1.02608695652174,7798.7955,9.43536376953125,None,NA,(D) Cell cycle control and mitosis,-,D,908340.HMPREF9406_3058,1.0999999999999999e-33,116,Septum formation initiator,-,-,-,-,-,-,-,-,-,-,-,-,DivIC,NA,NA,NA
RCHGF000411,Uncategorized;,AENW01000056,null,"HMPREF9406_3059, EFR35936.1",NA,4.12,394,0.256,16.1,2.38e-58,9.189999999999999e-57,NA,putative spore cortex biosynthesis protein YabQ,negative,462,154,0.392857142857142,18161.9838,10.6273803710938,None,NA,NA,-,-,908340.HMPREF9406_3059,1.3699999999999999e-87,259,-,-,-,-,-,-,-,-,-,-,-,-,-,Spore_YabQ,NA,NA,NA
RCHGF000412,Uncategorized;,AENW01000056,yabP,"yabP, HMPREF9406_3060, EFR35947.1",Hypothetical protein,5.75,139,0.294,19.6,3.84e-85,2.09e-83,Hypothetical protein,sporulation protein YabP,negative,300,100,-0.348,11274.7796,5.80694580078125,yabP,NA,(S) Function Unknown,-,S,658659.HMPREF0983_03655,6.400000000000001e-65,197,YabP family,yabP,-,-,-,-,-,-,-,-,-,-,-,YabP,NA,NA,NA
RCHGF000414,Uncategorized;,AENW01000056,null,"HMPREF9406_3062, EFR36050.1",Stage V sporulation protein T,3.18,102,0.262,12.1,9.149999999999999e-34,2.06e-32,Stage V sporulation protein T,putative stage V sporulation protein T,negative,492,164,-0.372560975609756,19627.5003,6.21466064453125,None,NA,(K) Transcription,-,K,908340.HMPREF9406_3062,2.1e-114,328,stage V sporulation protein T,spoVT,-,-,ko:K04769,-,-,-,-,"ko00000,ko03000",-,-,-,"MazE_antitoxin,SpoVT_C",NA,NA,NA
RCHGF000420,Uncategorized;,AENW01000056,null,"HMPREF9406_3068, EFR35920.1",NA,-1.67,91.5,0.418,-3.99,6.55e-5,2.79e-4,NA,hypothetical protein,negative,162,54,-1.68703703703704,6355.1794,9.67376708984375,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
